Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_Small_ALT","LED_0603_1608Metric",105.498974,-92.739848,162.000000,bottom
"D2","LED_Small_ALT","LED_0603_1608Metric",110.710638,-93.353180,4.500000,bottom
"D3","LED_Small_ALT","LED_0603_1608Metric",97.619820,-86.022180,117.000000,bottom
"D4","LED_Small_ALT","LED_0603_1608Metric",119.898160,-88.648540,49.500000,bottom
"D5","LED_Small_ALT","LED_0603_1608Metric",96.210120,-80.942180,94.000000,bottom
"D6","LED_Small_ALT","LED_0603_1608Metric",122.473720,-84.066380,72.000000,bottom
"D7","LED_Small_ALT","LED_0603_1608Metric",99.324160,-71.036180,56.200000,bottom
"D8","LED_Small_ALT","LED_0603_1608Metric",121.704160,-73.738584,117.000000,bottom
"D9","LED_Small_ALT","LED_0603_1608Metric",103.548336,-67.891720,27.000000,bottom
"D10","LED_Small_ALT","LED_0603_1608Metric",118.455440,-69.682360,139.500000,bottom
"D12","LED_Small_ALT","LED_0603_1608Metric",100.858320,-90.175080,139.500000,bottom
"D13","LED_Small_ALT","LED_0603_1608Metric",115.834160,-92.026740,27.000000,bottom
"D14","LED_Small_ALT","LED_0603_1608Metric",96.751140,-75.633580,72.000000,bottom
"D15","LED_Small_ALT","LED_0603_1608Metric",123.101100,-78.844140,94.500000,bottom
"D16","LED_Small_ALT","LED_0603_1608Metric",108.590080,-66.474340,4.500000,bottom
"D17","LED_Small_ALT","LED_0603_1608Metric",113.873280,-67.071240,162.000000,bottom
"G***","LOGO","Minicam_LED_Ring",100.995480,-80.129380,90.000000,bottom
