Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_Small_ALT","LED_0603_1608Metric",104.833774,-92.472374,157.500000,bottom
"D2","LED_Small_ALT","LED_0603_1608Metric",100.454058,-89.545942,135.000000,bottom
"D3","LED_Small_ALT","LED_0603_1608Metric",97.527626,-85.166226,112.500000,bottom
"D4","LED_Small_ALT","LED_0603_1608Metric",96.500000,-80.000000,90.000000,bottom
"D5","LED_Small_ALT","LED_0603_1608Metric",97.527626,-74.833774,67.500000,bottom
"D6","LED_Small_ALT","LED_0603_1608Metric",100.454058,-70.454058,45.000000,bottom
"D7","LED_Small_ALT","LED_0603_1608Metric",104.833774,-67.527626,22.500000,bottom
"D8","LED_Small_ALT","LED_0603_1608Metric",110.000000,-66.500000,0.000000,bottom
"D9","LED_Small_ALT","LED_0603_1608Metric",115.166226,-67.527626,157.500000,bottom
"D10","LED_Small_ALT","LED_0603_1608Metric",119.545942,-70.454058,135.000000,bottom
"D11","LED_Small_ALT","LED_0603_1608Metric",122.472374,-74.833774,112.500000,bottom
"D12","LED_Small_ALT","LED_0603_1608Metric",123.500000,-80.000000,90.000000,bottom
"D13","LED_Small_ALT","LED_0603_1608Metric",122.472374,-85.166226,67.500000,bottom
"D14","LED_Small_ALT","LED_0603_1608Metric",119.545942,-89.545942,45.000000,bottom
"D15","LED_Small_ALT","LED_0603_1608Metric",115.166226,-92.472374,22.500000,bottom
"D16","LED_Small_ALT","LED_0603_1608Metric",110.000000,-93.500000,0.000000,bottom
