Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_Small_ALT","LED_0603_1608Metric",106.507623,-89.583749,162.000000,bottom
"D2","LED_Small_ALT","LED_0603_1608Metric",112.806823,-89.587851,18.000000,bottom
"D3","LED_Small_ALT","LED_0603_1608Metric",101.436839,-85.877839,126.000000,bottom
"D4","LED_Small_ALT","LED_0603_1608Metric",117.882001,-85.895619,54.000000,bottom
"D5","LED_Small_ALT","LED_0603_1608Metric",99.489260,-79.910840,90.000000,bottom
"D6","LED_Small_ALT","LED_0603_1608Metric",119.814340,-79.895700,90.000000,bottom
"D7","LED_Small_ALT","LED_0603_1608Metric",101.424139,-73.923721,54.000000,bottom
"D8","LED_Small_ALT","LED_0603_1608Metric",117.873179,-73.949999,126.000000,bottom
"D9","LED_Small_ALT","LED_0603_1608Metric",106.520323,-70.253371,18.000000,bottom
"D10","LED_Small_ALT","LED_0603_1608Metric",112.786503,-70.236569,162.000000,bottom
