"ID";"指示器";"包";"数量";"名称";"供应商和参考";
1;"L1";"VLF4012AT-100MR79";1;"10uH";;;
2;"R1,R2,R4";"R_0402_1005Metric";3;"10K";;;
3;"R3";"R_0402_1005Metric";1;"12K";;;
4;"U1";"LM3509SD&slash_NOPB";1;"LM3509SD_NOPB";;;
5;"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10";"LED_0603_1608Metric";10;"LED_Small_ALT";;;
6;"C2";"C_0402_1005Metric";1;"10uF";;;
7;"C1";"C_0402_1005Metric";1;"1uF";;;
8;"D11";"SOD323(F)";1;"D_Schottky";;;
9;"J1";"PinHeader_1x03_P1.27mm_Vertical";1;"Conn_01x02_Female";;;
10;"J2";"PinHeader_1x02_P1.27mm_Vertical";1;"Conn_01x02_Male";;;
