Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric_L",121.488200,-26.365200,180.000000,top
"C2","1uF","C_0402_1005Metric_L",119.532400,-26.365200,0.000000,top
"C3","1uF","C_0402_1005Metric_L",118.033800,-29.489400,270.000000,top
"C4","0.1uF","C_0402_1005Metric_L",105.562400,-35.687000,90.000000,top
"C5","0.1uF","C_0402_1005Metric_L",117.068600,-36.550600,90.000000,top
"C6","0.1uF","C_0402_1005Metric_L",111.988600,-44.932600,0.000000,top
"C7","0.1uF","C_0402_1005Metric_L",111.988600,-43.992800,0.000000,top
"C8","0.1uF","C_0402_1005Metric_L",112.039400,-31.775400,0.000000,top
"C9","0.1uF","C_0402_1005Metric_L",109.626400,-43.662600,180.000000,top
"C10","0.1uF","C_0402_1005Metric_L",112.039400,-32.715200,0.000000,top
"C11","1uF","C_0402_1005Metric_L",114.757200,-31.077200,0.000000,top
"C12","10uF","C_0603_1608Metric_L",124.993400,-30.670800,90.000000,top
"C13","10uF","C_0603_1608Metric_L",126.212600,-30.670800,90.000000,top
"C14","0.1uF","C_0402_1005Metric_L",109.270800,-33.655000,180.000000,top
"C15","0.1uF","C_0402_1005Metric_L",117.017800,-40.132000,270.000000,top
"C16","1uF","C_0402_1005Metric_L",106.908600,-46.774400,270.000000,top
"C17","10uF","C_0603_1608Metric_L",113.106200,-29.527800,90.000000,top
"C18","10nF","C_0402_1005Metric_L",114.173000,-40.069000,270.000000,top
"C19","0.1uF","C_0402_1005Metric_L",115.112800,-40.081200,270.000000,top
"C20","4.7uF","C_0402_1005Metric_L",116.001800,-41.910000,270.000000,top
"C21","10nF","C_0402_1005Metric_L",114.604800,-41.427400,0.000000,top
"C22","0.1uF","C_0402_1005Metric_L",114.604800,-42.367200,0.000000,top
"C23","4.7uF","C_0402_1005Metric_L",114.604800,-43.307000,0.000000,top
"C24","0.1uF","C_0402_1005Metric_L",114.567200,-37.795200,0.000000,top
"C25","47nF","C_0402_1005Metric_L",114.579400,-38.709600,0.000000,top
"C26","10nF","C_0402_1005Metric_L",114.173000,-36.449000,90.000000,top
"C27","0.1uF","C_0402_1005Metric_L",115.112800,-36.449000,90.000000,top
"C28","4.7uF","C_0402_1005Metric_L",115.087400,-34.696400,90.000000,top
"C29","10nF","C_0402_1005Metric_L",106.997500,-33.261300,90.000000,top
"C30","0.1uF","C_0402_1005Metric_L",107.937300,-33.261300,90.000000,top
"C31","10nF","C_0402_1005Metric_L",104.622600,-37.439600,90.000000,top
"C32","0.1uF","C_0402_1005Metric_L",105.562400,-37.439600,90.000000,top
"C33","1uF","C_0402_1005Metric_L",118.770400,-44.119800,0.000000,top
"C34","10nF","C_0402_1005Metric_L",104.216200,-43.103800,0.000000,top
"C35","1uF","C_0402_1005Metric_L",116.001800,-47.117000,180.000000,top
"C36","10uF","C_0603_1608Metric_L",108.000800,-47.131000,270.000000,top
"D1","LED_Small_ALT","LED_SC80X160X65L40L",102.768400,-38.100000,270.000000,top
"J1","SMA-J-P-H-RA-TH1","SMA_Amphenol_132134-10_Vertical",122.707400,-38.100000,180.000000,top
"L1","BLM18PG471SN1D","L_0603_1608Metric_L",118.160800,-37.109400,90.000000,top
"L2","ADL3225V-470MT-TL000","L_1210_3225Metric_L",122.351800,-32.410400,0.000000,top
"L3","BLM18PG471SN1D","L_0603_1608Metric_L",117.094000,-42.291000,90.000000,top
"L4","BLM18PG471SN1D","L_0603_1608Metric_L",114.960400,-44.424600,180.000000,top
"L5","BLM18PG471SN1D","L_0603_1608Metric_L",116.205000,-34.340800,270.000000,top
"R1","2K","R_0402_1005Metric_ERJ_L",123.215400,-30.480000,180.000000,top
"R2","500","R_0402_1005Metric_ERJ_L",102.768400,-35.864800,270.000000,top
"R3","50","R_0402_1005Metric_ERJ_L",116.332000,-38.684200,0.000000,top
"R4","1K","R_0402_1005Metric_ERJ_L",118.770400,-43.230800,180.000000,top
"R5","2K","R_0402_1005Metric_ERJ_L",104.724200,-39.166800,270.000000,top
"R6","2K","R_0402_1005Metric_ERJ_L",105.562400,-39.166800,270.000000,top
"R7","10K","R_0402_1005Metric_ERJ_L",115.976400,-46.228000,0.000000,top
"R8","10K","R_0402_1005Metric_ERJ_L",113.741200,-46.253400,180.000000,top
"R9","100K","R_0402_1005Metric_ERJ_L",113.741200,-47.091600,0.000000,top
"R10","DNL","R_0402_1005Metric_ERJ_L",102.819200,-45.313600,270.000000,top
"R11","0","R_0402_1005Metric_ERJ_L",119.405400,-32.499600,270.000000,top
"R12","0","R_0402_1005Metric_ERJ_L",117.398800,-46.723600,270.000000,top
"R13","0","R_0402_1005Metric_ERJ_L",114.198400,-34.684000,90.000000,top
"U1","NCV8154MW180280TBG","DFN10_3x3_11P50_300X300X100L40X24T250X180N",120.523000,-28.575000,270.000000,top
"U2","DS90UB933-Q1","QFN_33_P50_500X500X80L40X24T310L",110.490000,-38.113000,0.000000,top
"U4","SiT_2.5mmx2mm","OSC_CC250X200X80L70X75L",104.800400,-44.881800,0.000000,top
